ทรัฟเฟิล	thráffə̂əw
เปิดซิง	pə̀ət siŋ
ยุทธภัณฑ์	yútthaphan
เพ็ญ	phen
โซเชียลแซงชั่น	soosîaw sɛɛŋchân
จิ๊ก	cík
ยาเค	yaa khee
สะเดา	sàdaw
มะรุม	márum
ผบช.	phûu banchaa kaan
ไทม์	thay
บริการเพื่อนเที่ยว	bɔrikaan phʉ̂an thîaw
เวิร์ก	wə̂ək
อมต	amatà
ล่อตาล่อใจ	lɔ̂ɔ taa lɔ̂ɔ cay
กรดแอซีติก	kròt ɛɛsiitìk
จารย์	caan
บาล	baan
หมองู	mɔ̌ɔ ŋuu
ฤาษี	rʉʉsǐi
ปลาคาร์ป	plaa kháap
ทาโกะยากิ	thaakɔ̀yaakì
เลย์เอาท์	leeáw
รหัสมอร์ส	rahàt mɔ́ɔs
เก๋ากี้	kǎwkîi
เอย	əəy
หยุ่น	yùn
แพล็บ	phlɛ́p
ฤาษีดัดตน	rʉʉsǐi dàt ton
สนง.	sɔ̌ɔ nɔɔ ŋɔɔ
รมว.	rɔɔ mɔɔ wɔɔ
ฉันทานุมัติ	chǎn thaa númát
หนอย	nɔ̌ɔy
เม่นใหญ่	mên yày
โวคาลอยด์	wookhaalɔɔy
ราชสีห์	râatchasǐi
ราชบัณฑิตยสภา	râatchabanthíttayasaphaa
แกงโฮะ	kɛɛŋ hó
เยิ่นเย้อ	yə̂ən yə́ə
นอยด์	nɔɔy
หินเจียร	hǐn cian
ติ๋งๆ	tǐŋ tǐŋ
ทุลักทุเล	thúlák thúlee
ติ๊ต่าง	tí tàaŋ
ยุทโธปกรณ์	yútthoopakɔɔn
ค่าแป๊ะเจี้ยะ	khâa pɛ́ cîa
มัณฑนากร	manthanaakɔɔn
ข้าวผัดหนำเลี๊ยบ	khâaw phàt nǎm líap
หนำเลี๊ยบ	nǎm líap
ป่อเต็กตึ๊ง	pɔ̀ɔ tèk tʉ́ŋ
บิงซู	biŋsuu
ฉึกฉัก	chʉ́k chák
แกรนด์	krɛɛn
���ำเพ็ญกุศล	bamphen kùsɔ̌ɔn
เบ๊	bée
อ๊อด	ɔ́ɔt
แมลงภู่	malɛɛŋ phûu
ไตรกลีเซอไรด์	traykliisəəray
แย้	yɛ́ɛ
หล่อฮั้งก้วย	lɔ̀ɔ háŋ kûay
อินทนิล	inthanin
พาวิลเลี่ยน	phaawiwlîan
ตานี	taanii
เจ็ก	cèk
ผิง	phǐŋ
แรร์	rɛɛ
วิสัญญีแพทย์	wísǎnnii phɛ̂ɛt
ซีซาร์	siisâa
เสี่ยวหลงเปา	sìaw lǒŋ paw
หนุมาน	hanúmaan
สำนักงานส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม	sǎmnákŋaan sòŋsə̌əm wísǎahakìt khanàat klaaŋ lɛ́ khanàat yɔ̂m
สุหนัต	sùnàt
ผ่าว	phàaw
บูดู	buuduu
น็อตตัวผู้	nɔ́t tua phûu
แว่นตานิรภัย	wɛ̂ntaa níraphay
มนตรา	montraa
ป้ายแท็กกระเป๋า	pâay thɛ́ɛk kràpǎw
ฝาง	faaŋ
อิซากายะ	ìsaakaayá
พุก	phúk
อย่อย	ayɔ̂y
มะเดื่อ	mádʉ̀a
ส.ต.ท.	sɔ̌ɔ tɔɔ thɔɔ
ปะติ๊โธ่	pàtíthôo
พล.ต.ท.	phon tɔɔ thɔɔ
อักษรเบรลล์	àksɔ̌ɔn breew
พล.ท.	phon thɔɔ
เยส	yées
พ.ท.	phɔɔ thɔɔ
ร.อ.	rɔɔ ɔɔ
ฮีทสโตรก	híit satròok
ภงด.	phɔɔ ŋɔɔ dɔɔ
โมเมนตัม	moomentâm
โคร็อกเกะ	khoorɔ́kkè
วิด	wít
ดิสเครดิต	dís khreedìt
เอ็ฟ	èf
เอ็ช	èt
วี	wii
ดับบลิว	dàpbaliw
เซ็ด	sét
แซ็ด	sɛ̀t
เซด	sêet
ด.ญิ.	dèk yǐŋ
ขโมยขโจร	khamooy khacoon
เสฉวน	sěechǔan
พรุ่ง	phrûŋ
ลัพธ์	láp
ไดมอนด์	daymɔ̂n
กรีน	kriin
ติมอร์	tìmɔɔ
พ.อ.	phɔɔ ɔɔ
วอร์	wɔɔ
แอดเดรส	ɛ́ɛtdrées
บชน.	bɔɔ chɔɔ nɔɔ
ปลาสวาย	plaa sawǎay
วิสาหกิจ	wísǎahakìt
ช้อป	chɔ́ɔp
อาโผ่ว	aa phòow
ตาล้า	taa láa
นิสชิน	níschîn
เอล	eew
เอ็ล	ew
เกียจ	kìat
สปาร์ค	sapáak
ราษฎร์	râat
ศก	sòk
สไตร๊ค์	satráy
เจเนอรัล	ceenəəran
วัดพระธาตุดอยสุเทพราชวรวิหาร	wát phrá thâat dɔɔysùthêep râatchawɔɔrawíhǎan
รมช.	rɔɔ mɔɔ chɔɔ
จ.ส.ต.	cɔɔ sɔ̌ɔ tɔɔ
มนุษยชน	manútsayachon
อากาศโยธิน	aakàat yoothin
สนช.	sɔ̌ɔ nɔɔ chɔɔ
อย.	ɔɔ yɔɔ
วิลสัน	wiwsǎn
แอ๊คติ้ง	ɛɛ́ktîŋ
เลอค่า	ləəkhâa
พล่อย	phlɔ̂y
แซม	sɛɛm
คอมบุ	khɔɔmbù
จังฮู้	caŋ húu
แอลป์	ɛ́ɛw
ยามาดะ	yaamadà
ปฏิ	patì
สุลต่าน	sǔnlatàan
เบื้อง	bʉ̂aŋ
ยนต์	yon
โพส	póos
อายุรกรรม	aayúrakam
ภัณฑ์	phan
ว่อง	wɔ̂ŋ
ประชาธิปัตย์	pràchaathípàt
นรีเวช	nariiwêet
แม็คโคร	mɛ́kkhroo
เอกรงค์	èekkaroŋ
บริบาล	bɔɔríbaan
ม๊า	máa
ซั่ว	sûa
แม่น้ำสาละวิน	mɛ̂ɛnáam sǎaláwin
ครั่น	khrân
วันสิทธิมนุษยชนสากล	wan sìtthí manútsayachon sǎakon
กัวเตมาลา	kuateemaalaa
ศิวะ	sìwá
เริง	rəəŋ
มน	mon
ทูลเกล้าฯ	thuun klâw
เชงเม้ง	chěŋméŋ
ฟาโรห์	faaroo
โจวเอินไหล	coowəənlǎy
มท.	mɔɔ thɔɔ
อุทธรณ์	ùtthɔɔn
โหงวเฮ้ง	ŋǒwhéŋ
ลิ่ว	lîw
ไฟช็อต	fay chɔ́ɔt
กปปส.	kɔɔ pɔɔ pɔɔ sɔ̌ɔ
คปท.	khɔɔ pɔɔ thɔɔ
โร่	rôo
สปช.	sɔ̌ɔ pɔɔ chɔɔ
วีรสตรี	wiirásàttrii
คราส	khrâat
เกจิ	keecì
หยอง	yɔ̌ɔŋ
ขงเบ้ง	khǒŋ bêŋ
งานปรึกษาหารือ ๓ คน	ŋaan prʉ̀ksǎa hǎarʉʉ sǎam khon
เกลี้ย	klîa
พิโรธ	phírôot
ชาญ	chaan
ทิ้งๆ ขว้างๆ	thíŋ thíŋ khwâaŋ khwâaŋ
อัป	àppà
วับ	wáp
สะอ้าน	sàâan
แคล่ว	khlɛ̂ɛw
วิเวก	wíwêek
มินนิโซตา	minnísootâa
ผาย	phǎay
เทพย	thêephayá
อัครราชทูต	àkkharâatchathûut
เจี้ยะ	cîa
เยาว์	yaw
เฟื่อง	fʉ̂aŋ
ห.ร.ม.	hɔ̌ɔ rɔɔ mɔɔ
อิศวร	ìsawǎn
เทเลโฟโต้	theeleefootôo
ทรอปิกออฟแคนเซอร์	sɔɔpìk ɔ́ɔf khɛɛnsə̂ə
การุณยฆาต	kaarunyakhâat
คีนวา	khiinwaa
เหน็ด	nèt
คอสมอส	kɔ́ɔsmɔ́ɔs
มณี	manii
แคลง	khlɛɛŋ
จ๊าก	cáak
แฉก	chɛ̀ɛk
ปรี๊ด	príit
พลั้ง	phláŋ
ไส	sǎy
อวัจนภาษา	awátcana phǎasaa
ลิงรีซัส	liŋ riisás
เจ้อ	cə̂ə
วันไหว้บะจ่าง	wan wây bàcàaŋ
เพล	pheen
ซิ่ว	sîw
เด็กซิ่ว	dèk sîw
พระราชานุญาต	phráraachaanúyâat
เนิร์ด	nə́ət
นัยยะ	nayyá
บูรณ์	buun
ถั่วแปบ	thùa pɛ̀ɛp
วิษณุ	wítsanú
พระวิษณุ	phrá wítsanú
โรคเอ๋อ	rôok ə̌ə
อำมาตย์	ammàat
ไตรลักษณ์	tray lák
สังคหวัตถุ ๔	sǎŋkhahawátthù sìi
จันทน์	can
แบะแซ	bɛ̀sɛ́
อั๊ว	úa
แมนจู	mɛɛncuu
ฝุด	fùt
แย	yɛɛ
แม่กม	mɛ̂ɛkom
ยุ่น	yûn
ยุ่นปี่	yûnpìi
มีหัวไว้คั่นหู	mii hǔa wáy khân hǔu
อริ	arì
สะเก็ดดาว	sàkèt daaw
เมอร์ส	mə́əs
งกๆเงิ่นๆ	ŋók ŋók ŋə̂n ŋə̂n
โซแลม	soolɛɛm
แซ่ด	sɛ̂t
ปลาบ	plàap
พญา	phayaa
แครง	khrɛɛŋ
เบ้อ	bə̂ə
โจ่ง	còoŋ
ทู	thuu
แป๊ะเจี้ยะ	pɛ́ cîa
อุย	uy
บรม	bɔrom
ซินเจียยู่อี่ซินนี้ฮวดใช้	sin cia yûu ìi sin níi hùat cháy
วอลรัส	wɔɔwrás
เคพกูสเบอร์รี่	khêepkùusbəərîi
ริวกิว	riwkiw
อาร์เรย์เหล็ก	aareelèk
กวัด	kwàt
พูดไปสองไพเบี้ย นิ่งเสียตำลึงทอง	phûut pay sɔ̌ɔŋ phay bîa nîŋ sǐa tam lʉŋ thɔɔŋ
บึนปาก	bʉn pàak
บอคเซีย	bɔ́ɔksia
หูดับ	hǔu dàp
บองหลา	bɔɔŋlǎa
ภู่	phûu
กาเหว่า	kaa wàw
นกดุเหว่า	nók dù wàw
แม่คะนิ้ง	mɛ̂ɛkháníŋ
ไฮเดรนเยีย	haydreenyia
วันธรรมสวนะ	wan thammasawaná
โกโบ้	koobôo
ออสโมซิส	ɔ́ɔsmoosís
ป้อย	pɔ̂ɔy
ปกาเกอะญอ	pakaakə̀yɔɔ
ฟัวกราส์	fuakraa
อินทนิลน้ำ	inthanin náam
ปีเตอร์	piitə̂ə
ผีตานี	phǐi taanii
แหง็ก	ŋɛ̀k
เหง	hěŋ
เงิ่นๆ	ŋə̂n ŋə̂n
มะปริง	mápriŋ
ส้มป่อย	sôm pɔ̀y
โอ๊ค	óok
ชึ่ง	chʉ̂ŋ
มอสส์	mɔ́ɔs
ลอต	lɔ́t
นารายณ์	naaraay
เบียว	biaw
ไฮโดรโปนิกส์	haydroo poonìk
รีตอง	riitɔɔŋ
ป.ป.ท.	pɔɔ pɔɔ thɔɔ
โชน	choon
เรด้า	reedâa
ต๊าปเกลียว	táap kiaw
เครย์ฟิช	khreefít
ทุร	thúrá
ร.ท.	rɔɔ thɔɔ
ไพลิน	phay lin
แซฟไฟร์	séeffay
สุมาเต๊อะ	sùmaatə́
ร.ต.	rɔɔ tɔɔ
จ.ส.อ.พ.	cɔɔ sɔ̌ɔ ɔɔ phɔɔ
จ.ส.อ.	cɔɔ sɔ̌ɔ ɔɔ
ส.อ.	sɔ̌ɔ ɔɔ
ยาอายุวัฒนะ	yaa aayú wátthana
ส.ท.	sɔ̌ɔ thɔɔ
ส.ต.	sɔ̌ɔ tɔɔ
ไทยากิ	thayyaakì
เยซู	yeesuu
แต่ละมื้อแต่ละเดย์	tɛ̀ɛ lá mʉ́ʉ tɛ̀ɛ lá dee
จิ๊ด	cít
เรวะ	reewá
ยง	yoŋ
ระกำ	rákam
สังฆ	sǎŋkhá
โครกเครก	khrôok khréek
เจี่ยน	cìan
สัประยุทธ์	sàppràyút
ไฮโดร	haydroo
ดอกแดฟโฟดิล	dɔ̀ɔk dɛɛffoodiw
ไฮยาซินธ์	hayyaasin
พญ.	phɔɔ yɔɔ
เยื้อ	yʉ́a
ศิโรราบ	sìroorâap
ฮอร์มุซ	hɔɔmús
มุสก้า	múskâa
ลักษณ์	lák
อารย	aarayá
บรรพ	banphá
สัท	sàt
นิทรรศน์	níthát
คิกขุ	khíkkhù
วชิร	wachíra
เวิลด์	wəəw
สยด	sayòt
โรจน์	rôot
อัต	àt
มหาชนก	mahǎachanók
ตรรกยะ	tàkkayá
งกๆ	ŋók ŋók
ราดหน้า	râat nâa
สุนทรี	sǔnthrii
ริ	rí
ดำริ	damrì
ตุลา	tùlaa
เทือก	thʉ̂ak
ปภ.	pɔɔ phɔɔ
โยธิน	yoothin
ไปลามาไหว้	pay laa maa wâay
พลี	phlii
นาร์ซิสซัส	naasíssás
โสม	sǒom
กาญจน์	kaan
โมบาย	moobaay
ตื้บ	tʉ̂ʉp
สิงขร	sǐŋkhɔ̌ɔn
ปิยมหาราช	pìya mahǎarâat
ชีว	chiiwá
อภิรมย์	aphírom
สาลิกา	sǎalíkaa
หนำ	nǎm
ต้อย	tɔ̂y
พันธ	phantha
ปราศ	pràat
จุบ	cùp
เซลฟ์	seew
สมุห	samúhà
สรร	sǎn
สูติ	sùutì
นิร	nírá
ติมอร์ตะวันออก	tìmɔɔ tàwan ɔ̀ɔk
บุพเพ	bùpphee
สันนิวาส	sǎnníwâat
เพลิด	phlə̂ət
เหว่	wèe
เส้นแบ่งเขตวันสากล	sên bɛ̀ŋ khèet wan sǎakɔn
สัจ	sàt
นิเวศ	níwêet
รัตน์	rát
เคหะ	kheehà
งุน	ŋun
แหวว	wɛ̌ɛw
โชติ	choot
วิวรรธน์	wíwát
รอน	rɔɔn
ริด	rít
โลภะ	loopha
แพน้ำแข็ง	phɛɛ námkhěŋ
โทริอิ	thooríì
ภาคเสธ	phâak sèet
หยุม	yǔm
ดอกแค	dɔ̀ɔk khɛɛ
เนียบ	nîap
เกษม	kasěm
พรึง	phrʉŋ
ยินดียินร้าย	yin dii yin ráay
ราชคฤห์	râatchakhrʉ́t
ชาร์โคล	chaakoow
สาคร	sǎakhɔɔn
ฉาด	chàat
สะเทิน	sàthəən
ปิย	pìyá
พระเนตร	phrá nêet
ม.ร.ว.	mɔɔ rɔɔ wɔɔ
สมถ	sàmáthà
เฝ้าฯ	fâw
พระบรมราชานุเคราะห์	phrábɔrom raachaanúkhrɔ́
สมุหราชองครักษ์	sàmúhà râatchá oŋkhrák
ฯพณฯ	pháná thân
เทอะ	thə́
ฉลู	chalǔu
รัฏฐาธิปัตย์	rátthǎathíbàt
อรินทราช	arinthrâat
ฉายาลักษณ์	chǎayaalák
หน้าซูชิ	nâa suuchí
นกสกู๊ต	nók sakúut
วโรกาส	warookàat
เฟือ	fʉa
ฤดี	rʉ́dii
เศียร	sǐan
กูล	kuun
อุนจิ	uncì
ยาสุกุนิ	yaasùkùní
คะเคียวอิน	khákhiawin
ปะติ๋ว	pàtǐw
อภิเษก	aphísèek
สหัส	sahàt
วรรษ	wát
ขาม	khǎam
ด่ำ	dàm
กี้	kîi
จวบ	cùap
เลอ	ləə
สัมมา	sǎmmaa
สนม	sanǒm
ซาบ	sâap
สรรค์	sǎn
ชอม	chɔɔm
ช้อย	chɔ́ɔy
จุล	cun
ฉุบ	chùp
เย่อ	yə̂ə
เกล้าฯ	klâaw
ปรน	pron
บั้น	bân
อัคร	àkrá
มหาด	mahàat
เยียน	yian
ดำรัส	damràt
นาถ	nâat
โสตทัศน์	sòotthát
ยุกต์	yúk
เอร็ด	arèt
พะยูง	pháyuuŋ
สรง	sǒŋ
เยา	yaw
ว้า	wáa
พิฆเนตร	phíknêet
โองการ	ooŋkaan
เพรียง	phriaŋ
บังอร	baŋɔɔn
อะดีโนซีน	àdiinoosiin
แมงระงำ	mɛɛŋráŋam
นาคี	naakhii
เทพนาคี	thêep naakhii
ซั้ว	súa
เมย	məəy
เว่อร์	wə̂ə
ลูกแม็ก	lûuk mɛ́k
สากรรจ์	sǎakan
กระเดี้ย	kràdîa
วิบ	wíp
วัจนะ	wátcaná
บัด	bàt
นางนพมาศ	naaŋ nópphamâat
อะ	à
กูเกิ้ล	kuukə̂ən
ไดเอ็ท	dayèt
ซานตาคลอส	saantaakhlɔ́ɔs
โมนาโก	moonaakoo
แชะ	chɛ́
เหง้า	ŋâw
รอก	rɔ̂ɔk
สีชาด	sǐi châat
นพมาศ	nópphamâat
ครุ่น	khrûn
นิล	nin
มะขวิด	mákhawìt
โข่ง	khòoŋ
ไลซิแอนทัส	laysíɛɛnthás
ปร๋อ	prɔ̌ɔ
ฉล	chǒn
เรไร	reeray
พราด	phrâat
กรณ์	kɔɔn
มารับ	maa ráp
จาบ	càap
ฉัตร	chàt
อุเบกขา	ùbèekkhǎa
แปบ	pɛ̀ɛp
โขม	khǒom
ปูชนียะ	pùutchaniiyá
จำนรรจ์	camnan
เค้ง	khéŋ
สู	sǔu
เตร็ด	trèt
ด็อกวูด	dɔ́ɔkwùut
บูรณปฏิสังขรณ์	buurana patìsǎŋkhɔ̌ɔn
โฮะ	hó
เมสสิยาห์	méessìyaa
ปี่แป่	pìi pɛ̀ɛ
อริยสัจ	aríyasàt
สังคหวัตถุ	sǎŋkhahawátthù
ยินร้าย	yin ráay
อัตถจริยา	àtthacaríyaa
อิทธิบาท ๔	ìtthíbàat sìi
เทโวโรหนะ	theewooroohaná
ปัญจวัคคีย์	pancawákkhii
แฟ้น	fɛ́ɛn
กัลปพฤกษ์	kanlapaphrʉ́k
เยาวมาลย์	yawwamaan
พฤกษ	phrə́ksa
สัทพจน์	sàtthaphót
ยาห์เวห์	yaawee
อาจิ	aacì
นรี	narii
ศิวาลัย	sìwaalay
ไปยาลใหญ่	payyaan yày
ซาวด์อะเบ๊าท์	saawàbáw
มณโฑ	monthoo
โปรดเกล้าฯ	pròot klâw
เห็ดเป๋าฮื้อ	hèt pǎw hʉ̂ʉ
นกสาลิกาปากดำ	nók sǎalíkaa pàak dam
ลี	lii
ข่าง	khàaŋ
บอ	bɔɔ
ไคล้	khláy
ขวัก	khwàk
ระมัด	rámát
ลำเนา	lamnaw
เนตร	nêet
นิคหิต	níkkhahìt
เหว่า	wàw
สกทาคามี	sàkkathaakhaamii
อนาคามี	anaakhaamii
ไค้	kháy
กม	kom
แบะ	bɛ̀
เฉ่ง	chèŋ
พล้ำ	phlám
ปุโรหิต	pùroohìt
ไช่	chây
อัครสาวก	àkkhrasǎawók
วิวรณ์	wíwɔɔn
ดวน	duan
ปลาฉลามหัววัว	plaa chalǎam hǔa wua
วิทยายุทธ	wítthayaa yút
พระอุระ	phrá ùrá
อรรถ	àt
ชูการ์	chuukâa
สนใบพาย	sǒn bay phaay
สวก	sùak
ต๊าป	táap
สาละ	sǎalá
ขาง	khǎaŋ
อัง	aŋ
เนติ	neetì
สง	sǒŋ
ฝรั่น	faràn
ผาลไถ	phǎan thǎy
ผาล	phǎan
สรวง	sǔaŋ
บวง	buaŋ
ผาน	phǎan
รักเกียว	rákkiaw
ขวย	khǔay
ตักษัย	tàk sǎy
อิสริย	ìtsaríya
หมาผัวโต้วฟู	mǎa phǔa tôow fuu
นพ	nóp
จ.ส.ท.	cɔɔ sɔ̌ɔ thɔɔ
ตุตันคาเมน	tùtankhaameen
แผล็ว	phlɛ̌w
เดย์	dee
ครูเสด	khruusèet
ยูเรเนียม	yuureenîam
ไวย์	way
สิญจน์	sǐn
เส้า	sâw
นเรนทร	nareenthɔɔn
ระ	rá
เดียง	diaŋ
ต้าว	tâaw
แค	khɛɛ
ผลู	phalǔu
อั่ว	ùa
โยชน์	yôot
จันทรคาธ	cantharakhaat
กระซาบ	kràsâap
ทรวด	sûat
ปัถวี	pàtthawii
พระอัญญาโกณฑัญญะ	phrá anyaa koonthanyá
คาธ	kháat
โอวาทปาฏิโมกข์	oowâat paatìmôok
ไสล	salǎy
เถือน	thʉ̌an
ไหม่	mày
ปฎิบัติ	patìbàt
ปรากฎ	praakòt
สะดม	sàdom
ปร	pɔɔrá
เยง	yeeŋ
ผู้ว่าฯ	phûu wâa
คัตเตอร์	kháttə̂ə
